,,capex,,,,2019,890,,USD,,,kW,"See ""Assumptions"" of the report. Given in kW_liquid",IEA The future of Hydrogen (2019)
,,capex,,,,2020,1011,,EUR,,,kW,,Buchenberg et al. (2023), Table 1
,,capex,,,,2030,864,,EUR,,,kW,,Buchenberg et al. (2023), Table 1
,,capex,,,,2050,642,,EUR,,,kW,,Buchenberg et al. (2023), Table 1
,,capex,,,,2030,760,,USD,,,kW,"See ""Assumptions"" of the report. Given in kW_liquid",IEA The future of Hydrogen (2019)
,,fopex_rel,,,,,4,,percent,,,,,Buchenberg et al. (2023), Table 1
,,fopex_rel,,,,,4,,percent,,,,"See ""Assumptions"" of the report. Valid from 2019 to 2050",IEA The future of Hydrogen (2019)
,,lifetime,,,,,30,,year,,,,"See ""Assumptions"" of the report.",IEA The future of Hydrogen (2019)
,,lifetime,,,,,25,,percent,,,,,Buchenberg et al. (2023), Table 1
,,energy_dem,elec,,,2019,0.018,,GJ,,,GJ,"See ""Assumptions"" of the report. Here, we have GJ(el)/GJ(prod)",IEA The future of Hydrogen (2019)
,,energy_dem,elec,,,2030,0.018,,GJ,,,GJ,"See ""Assumptions"" of the report. Here, we have GJ(el)/GJ(prod)",IEA The future of Hydrogen (2019)
,,efficiency,,,,,73,,percent,,,,"H2 to liquid efficiency",IEA The future of Hydrogen (2019)